Asset_Identifier,Asset_Popularity_With_Funds,Asset_Risk_Type,Asset_Marketing_Proportion_Index,Asset_Type,Asset_Price,Office_Identifier,Office_Establishment_Year,Office_Scale,Office_Location_Type,Office_Type,Asset_Office_Sales,Office_Year,Asset
FDA15,9.3,0,0.016047301,4,249.8092,OFF049,1999,1,0,1,3735.138,14,Bonds
DRC01,5.92,1,0.019278216,14,48.2692,OFF018,2009,1,2,2,443.4228,4,ETF
FDN15,17.5,0,0.016760075,10,141.618,OFF049,1999,1,0,1,2097.27,14,Bonds
FDX07,19.2,1,0.02291051,6,182.095,OFF010,1998,2,2,0,732.38,15,Bonds
NCD19,8.93,0,0.016164306,9,53.8614,OFF013,1987,0,2,1,994.7052,26,Private Equity
FDP36,10.395,1,0.091392321,0,51.4008,OFF018,2009,1,2,2,556.6088,4,Bonds
FDO10,13.65,1,0.012741089,13,57.6588,OFF013,1987,0,2,1,343.5528,26,Bonds
FDP10,19,0,0.127469857,13,107.7622,OFF027,1985,1,2,3,4022.7636,28,Bonds
FDH17,16.2,1,0.016687114,5,96.9726,OFF045,2002,2,1,1,1076.5986,11,Bonds
FDU28,19.2,1,0.09444959,5,187.8214,OFF017,2007,2,1,1,4710.535,6,Bonds
FDY07,11.8,0,0.121879573,6,45.5402,OFF049,1999,1,0,1,1516.0266,14,Bonds
FDA03,18.5,1,0.045463773,4,144.1102,OFF046,1997,2,0,1,2187.153,16,Bonds
FDX32,15.1,1,0.1000135,6,145.4786,OFF049,1999,1,0,1,1589.2646,14,Bonds
FDS46,17.6,1,0.047257328,13,119.6782,OFF046,1997,2,0,1,2145.2076,16,Bonds
FDF32,16.35,0,0.0680243,6,196.4426,OFF013,1987,0,2,1,1977.426,26,Bonds
FDP49,9,1,0.069088961,2,56.3614,OFF046,1997,2,0,1,1547.3192,16,Bonds
NCB42,11.8,0,0.008596051,8,115.3492,OFF018,2009,1,2,2,1621.8888,4,Private Equity
FDP49,9,1,0.069196376,2,54.3614,OFF049,1999,1,0,1,718.3982,14,Bonds
DRI11,8.26,0,0.034237682,7,113.2834,OFF027,1985,1,2,3,2303.668,28,ETF
FDU02,13.35,0,0.10249212,4,230.5352,OFF035,2004,2,1,1,2748.4224,9,Bonds
FDN22,18.85,1,0.138190277,13,250.8724,OFF013,1987,0,2,1,3775.086,26,Bonds
FDW12,8.315,1,0.035399923,0,144.5444,OFF027,1985,1,2,3,4064.0432,28,Bonds
NCB30,14.6,0,0.025698134,9,196.5084,OFF035,2004,2,1,1,1587.2672,9,Private Equity
FDC37,15.5,0,0.057556998,0,107.6938,OFF019,1985,2,0,0,214.3876,28,Bonds
FDR28,13.85,1,0.025896485,5,165.021,OFF046,1997,2,0,1,4078.025,16,Bonds
NCD06,13,0,0.099887103,9,45.906,OFF017,2007,2,1,1,838.908,6,Private Equity
FDV10,7.645,1,0.066693437,13,42.3112,OFF035,2004,2,1,1,1065.28,9,Bonds
DRJ59,11.65,0,0.019356132,7,39.1164,OFF013,1987,0,2,1,308.9312,26,ETF
FDE51,5.925,1,0.161466534,4,45.5086,OFF010,1998,2,2,0,178.4344,15,Bonds
FDC14,14.5,1,0.072221801,3,43.6454,OFF019,1985,2,0,0,125.8362,28,Bonds
FDV38,19.25,0,0.170348551,4,55.7956,OFF010,1998,2,2,0,163.7868,15,Bonds
NCS17,18.6,0,0.080829372,8,96.4436,OFF018,2009,1,2,2,2741.7644,4,Private Equity
FDP33,18.7,0,0.102678314,13,256.6672,OFF018,2009,1,2,2,3068.0064,4,Bonds
FDO23,17.85,0,0.164846377,1,93.1436,OFF045,2002,2,1,1,2174.5028,11,Bonds
DRH01,17.5,0,0.097904029,14,174.8738,OFF046,1997,2,0,1,2085.2856,16,ETF
NCX29,10,0,0.089291137,8,146.7102,OFF049,1999,1,0,1,3791.0652,14,Private Equity
FDV20,20.2,1,0.059511812,6,128.0678,OFF027,1985,1,2,3,2797.6916,28,Bonds
